i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.1455,0.195,0.0495,-0.1705,0.048,0.122,0.2955,0.1265,0.3135,0.2845,0.2625,0.209,-0.0895,-0.2925,-0.077
0.1455,0.199,0.0535,-0.1725,0.0455,0.126,0.2995,0.125,0.3135,0.284,0.261,0.21,-0.089,-0.289,-0.076
0.145,0.198,0.0525,-0.1715,0.046,0.125,0.295,0.1225,0.311,0.2815,0.2595,0.2085,-0.0885,-0.2885,-0.0755
0.146,0.1985,0.0525,-0.1725,0.0465,0.1255,0.292,0.117,0.308,0.278,0.256,0.2055,-0.0895,-0.287,-0.0765
0.144,0.197,0.053,-0.171,0.045,0.125,0.292,0.122,0.313,0.284,0.2625,0.209,-0.0865,-0.2875,-0.076
0.145,0.1985,0.0535,-0.172,0.0455,0.126,0.291,0.1195,0.3105,0.28,0.258,0.2055,-0.0865,-0.284,-0.0735
0.1475,0.203,0.0555,-0.1755,0.046,0.129,0.29,0.114,0.3055,0.27,0.2515,0.1995,-0.09,-0.28,-0.0735
0.147,0.2055,0.0585,-0.177,0.044,0.132,0.2875,0.1155,0.3075,0.271,0.255,0.2015,-0.089,-0.2785,-0.074
0.149,0.2065,0.0575,-0.178,0.0455,0.132,0.288,0.1145,0.306,0.2705,0.252,0.1985,-0.092,-0.278,-0.074
0.1435,0.1995,0.056,-0.1715,0.0435,0.128,0.294,0.1155,0.3045,0.2695,0.2515,0.198,-0.0965,-0.278,-0.077
0.1445,0.197,0.052,-0.171,0.046,0.1245,0.2945,0.1185,0.308,0.2755,0.2555,0.2045,-0.0935,-0.285,-0.076
0.1505,0.198,0.0475,-0.1745,0.0515,0.123,0.294,0.122,0.3115,0.2815,0.2595,0.2065,-0.09,-0.2895,-0.074
0.148,0.1975,0.0495,-0.173,0.049,0.1235,0.298,0.1215,0.31,0.283,0.2615,0.209,-0.089,-0.2905,-0.0725
0.145,0.1985,0.053,-0.172,0.0455,0.1255,0.298,0.1225,0.3125,0.2855,0.2615,0.21,-0.088,-0.29,-0.0725
0.146,0.1975,0.0515,-0.172,0.047,0.1245,0.297,0.1265,0.3135,0.286,0.261,0.2085,-0.088,-0.291,-0.0755
0.144,0.1945,0.0505,-0.1695,0.0465,0.1225,0.297,0.123,0.3085,0.2825,0.256,0.208,-0.091,-0.298,-0.076
0.1385,0.1895,0.051,-0.164,0.0435,0.12,0.2995,0.124,0.31,0.2865,0.2585,0.2105,-0.0895,-0.3,-0.074
0.139,0.1865,0.048,-0.163,0.045,0.1175,0.301,0.127,0.3125,0.2895,0.261,0.216,-0.087,-0.3055,-0.075
0.1395,0.187,0.048,-0.1635,0.0455,0.1175,0.3005,0.1255,0.3105,0.2895,0.2605,0.216,-0.0885,-0.3055,-0.073
0.1375,0.1905,0.0535,-0.164,0.0415,0.122,0.2995,0.1225,0.309,0.2875,0.259,0.213,-0.088,-0.301,-0.0705
0.137,0.194,0.057,-0.1655,0.0395,0.1255,0.2945,0.1145,0.3045,0.2795,0.2555,0.208,-0.0895,-0.296,-0.0695
0.1385,0.196,0.0575,-0.1675,0.0405,0.1265,0.289,0.112,0.3025,0.2765,0.2545,0.2075,-0.089,-0.2905,-0.068
0.1385,0.1975,0.059,-0.168,0.0395,0.128,0.287,0.1085,0.301,0.276,0.2535,0.205,-0.09,-0.289,-0.0695
0.1385,0.1985,0.06,-0.1685,0.039,0.129,0.2885,0.1105,0.3035,0.2765,0.255,0.2045,-0.0895,-0.2845,-0.0695
0.1375,0.1965,0.059,-0.167,0.039,0.1275,0.291,0.1155,0.307,0.277,0.255,0.207,-0.0885,-0.283,-0.0675
0.1365,0.197,0.06,-0.167,0.038,0.1285,0.288,0.1115,0.305,0.276,0.2535,0.204,-0.089,-0.2805,-0.0675
0.141,0.2055,0.0645,-0.1735,0.038,0.135,0.284,0.106,0.301,0.272,0.2515,0.203,-0.0885,-0.275,-0.0685
0.145,0.21,0.065,-0.178,0.0395,0.1375,0.284,0.1045,0.2975,0.268,0.2515,0.203,-0.086,-0.274,-0.0675
0.1505,0.212,0.0615,-0.1815,0.0445,0.137,0.2825,0.1055,0.298,0.268,0.252,0.2015,-0.0885,-0.274,-0.0675
0.1555,0.214,0.059,-0.185,0.048,0.1365,0.285,0.1075,0.302,0.275,0.2555,0.207,-0.0875,-0.2795,-0.067
0.1525,0.21,0.0575,-0.1815,0.047,0.134,0.2905,0.1165,0.307,0.2815,0.2595,0.2125,-0.086,-0.282,-0.065
0.151,0.2075,0.056,-0.1795,0.0475,0.1315,0.2885,0.1165,0.3055,0.281,0.258,0.211,-0.0875,-0.284,-0.0645
0.1545,0.2025,0.048,-0.1785,0.053,0.125,0.287,0.1155,0.306,0.2845,0.261,0.211,-0.085,-0.291,-0.066
0.1535,0.197,0.0435,-0.1755,0.055,0.12,0.2895,0.1155,0.3045,0.2825,0.2585,0.2095,-0.0875,-0.293,-0.066
