i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.1775,0.24,0.4175,-0.0315,-0.297,0.3285,0.2575,0.3125,0.3005,0.0075,0.088,-0.12,0.0705,0.213,-0.162
-0.1715,0.24,0.4115,-0.034,-0.291,0.3255,0.2585,0.314,0.302,0.008,0.086,-0.1215,0.0685,0.2135,-0.1605
-0.174,0.2415,0.4155,-0.034,-0.294,0.3285,0.258,0.316,0.303,0.0075,0.085,-0.125,0.0615,0.214,-0.163
-0.1735,0.2395,0.413,-0.033,-0.293,0.3265,0.2565,0.3145,0.3015,0.0065,0.0855,-0.123,0.0625,0.215,-0.1615
-0.17,0.2445,0.4145,-0.0375,-0.292,0.3295,0.262,0.318,0.3035,0.0095,0.0875,-0.1225,0.0645,0.2165,-0.162
-0.167,0.2475,0.415,-0.04,-0.2905,0.331,0.2655,0.319,0.307,0.012,0.089,-0.1215,0.065,0.2165,-0.1645
-0.1625,0.245,0.4075,-0.041,-0.2845,0.326,0.2555,0.316,0.3065,0.0135,0.0885,-0.122,0.065,0.2135,-0.164
-0.1625,0.244,0.4065,-0.041,-0.284,0.325,0.257,0.315,0.3065,0.0125,0.088,-0.123,0.065,0.2135,-0.1625
-0.164,0.2465,0.4105,-0.041,-0.287,0.3285,0.258,0.3195,0.308,0.013,0.0875,-0.1235,0.066,0.219,-0.1635
-0.1655,0.2465,0.412,-0.0405,-0.2885,0.3295,0.257,0.3195,0.3075,0.0125,0.087,-0.1245,0.0645,0.2265,-0.165
-0.171,0.242,0.413,-0.0355,-0.2915,0.3275,0.258,0.3155,0.306,0.011,0.087,-0.124,0.0625,0.23,-0.1635
-0.171,0.242,0.413,-0.0355,-0.2915,0.3275,0.254,0.315,0.3065,0.012,0.0875,-0.122,0.0645,0.2235,-0.164
-0.165,0.247,0.4125,-0.041,-0.2885,0.3295,0.2555,0.3185,0.3085,0.0125,0.091,-0.1205,0.068,0.2275,-0.166
-0.1605,0.2475,0.408,-0.0435,-0.284,0.328,0.2495,0.316,0.307,0.012,0.092,-0.121,0.071,0.2305,-0.164
-0.1635,0.2505,0.4135,-0.0435,-0.288,0.332,0.254,0.3165,0.308,0.0125,0.092,-0.1205,0.071,0.224,-0.164
-0.168,0.25,0.418,-0.041,-0.2925,0.334,0.261,0.3205,0.3085,0.0125,0.0895,-0.1235,0.0665,0.2235,-0.1655
-0.169,0.2465,0.4155,-0.0385,-0.2915,0.331,0.2575,0.3175,0.3065,0.0105,0.0865,-0.125,0.0665,0.224,-0.1635
-0.1705,0.2465,0.417,-0.038,-0.293,0.3315,0.26,0.3195,0.309,0.0115,0.089,-0.124,0.069,0.2225,-0.1635
-0.1725,0.2435,0.416,-0.0355,-0.2935,0.33,0.259,0.322,0.3145,0.015,0.0935,-0.122,0.0685,0.2175,-0.165
-0.1735,0.245,0.418,-0.0355,-0.295,0.3315,0.259,0.3215,0.3135,0.0185,0.0955,-0.12,0.067,0.2155,-0.168
-0.1735,0.2435,0.417,-0.035,-0.2945,0.33,0.259,0.3195,0.3105,0.018,0.095,-0.121,0.068,0.2195,-0.1665
-0.1715,0.2425,0.414,-0.0355,-0.292,0.328,0.2555,0.319,0.3105,0.0155,0.0945,-0.121,0.071,0.2215,-0.1645
-0.17,0.2415,0.4115,-0.0355,-0.2905,0.3265,0.2575,0.3205,0.308,0.015,0.092,-0.121,0.0685,0.221,-0.164
-0.1755,0.24,0.4155,-0.032,-0.295,0.328,0.2585,0.322,0.308,0.016,0.0915,-0.123,0.065,0.217,-0.1635
-0.1785,0.24,0.4185,-0.031,-0.298,0.329,0.2575,0.3225,0.311,0.018,0.0885,-0.1235,0.0655,0.209,-0.1635
-0.178,0.2425,0.42,-0.0325,-0.2985,0.331,0.2585,0.322,0.312,0.0175,0.0875,-0.1245,0.0665,0.21,-0.1625
-0.1795,0.244,0.4235,-0.0325,-0.301,0.334,0.257,0.32,0.3075,0.014,0.0855,-0.127,0.0625,0.2125,-0.163
-0.1795,0.244,0.423,-0.0325,-0.3005,0.3335,0.259,0.319,0.3095,0.016,0.086,-0.1255,0.061,0.211,-0.1645
-0.173,0.249,0.422,-0.038,-0.297,0.3355,0.262,0.322,0.3165,0.0185,0.0885,-0.1245,0.064,0.2145,-0.166
-0.171,0.247,0.418,-0.038,-0.294,0.3325,0.2585,0.323,0.3105,0.0155,0.084,-0.127,0.066,0.214,-0.163
-0.17,0.25,0.42,-0.04,-0.2945,0.335,0.2575,0.3225,0.3075,0.0135,0.0855,-0.128,0.0625,0.223,-0.1645
-0.1645,0.254,0.419,-0.0445,-0.2915,0.3365,0.2545,0.3195,0.308,0.014,0.086,-0.1265,0.0615,0.233,-0.167
-0.169,0.25,0.4195,-0.0405,-0.2935,0.3345,0.255,0.3215,0.309,0.0145,0.085,-0.1265,0.065,0.2335,-0.164
-0.1675,0.2485,0.416,-0.0405,-0.2915,0.3325,0.2575,0.3255,0.3095,0.013,0.0835,-0.1295,0.065,0.234,-0.1625
-0.171,0.2425,0.413,-0.036,-0.2915,0.328,0.257,0.3235,0.3095,0.0155,0.084,-0.1275,0.065,0.229,-0.1615
-0.181,0.2395,0.4205,-0.0295,-0.3005,0.33,0.2615,0.324,0.3125,0.0155,0.085,-0.126,0.061,0.2215,-0.163
-0.1775,0.2425,0.42,-0.0325,-0.298,0.3315,0.2585,0.324,0.312,0.016,0.0855,-0.126,0.0595,0.216,-0.164
-0.1745,0.244,0.418,-0.0345,-0.2955,0.331,0.2595,0.3235,0.3125,0.016,0.0855,-0.126,0.063,0.2155,-0.1615
-0.1665,0.244,0.4105,-0.0385,-0.288,0.3275,0.265,0.324,0.311,0.0145,0.085,-0.127,0.065,0.217,-0.1615
-0.164,0.2445,0.408,-0.04,-0.2855,0.326,0.266,0.3245,0.3115,0.0185,0.089,-0.1245,0.0655,0.214,-0.1645
-0.1705,0.239,0.4095,-0.034,-0.2895,0.324,0.26,0.3245,0.3095,0.0165,0.0875,-0.1275,0.0635,0.208,-0.163
-0.1695,0.236,0.4055,-0.0335,-0.287,0.321,0.258,0.3235,0.307,0.0135,0.084,-0.1305,0.063,0.2105,-0.1605
-0.172,0.2375,0.4095,-0.033,-0.29,0.3235,0.26,0.3235,0.309,0.014,0.086,-0.1265,0.0635,0.2115,-0.1625
-0.1755,0.2365,0.412,-0.0305,-0.293,0.324,0.257,0.3185,0.3055,0.014,0.0855,-0.125,0.064,0.2085,-0.1635
-0.171,0.239,0.41,-0.0345,-0.29,0.3245,0.2585,0.3195,0.3065,0.012,0.085,-0.128,0.0625,0.2115,-0.162
-0.166,0.241,0.407,-0.0375,-0.286,0.324,0.2565,0.322,0.307,0.011,0.085,-0.128,0.0635,0.2175,-0.1625
-0.1705,0.2385,0.409,-0.034,-0.2895,0.324,0.257,0.32,0.304,0.0115,0.085,-0.1265,0.0655,0.2205,-0.1625
-0.1775,0.2365,0.414,-0.0295,-0.295,0.325,0.258,0.3195,0.3025,0.0095,0.084,-0.127,0.061,0.213,-0.1605
-0.175,0.239,0.414,-0.032,-0.294,0.3265,0.2545,0.3145,0.301,0.0075,0.0845,-0.1265,0.062,0.212,-0.158
-0.1725,0.242,0.414,-0.035,-0.2925,0.328,0.254,0.318,0.3015,0.006,0.085,-0.126,0.0655,0.222,-0.1565
-0.1775,0.24,0.4175,-0.0315,-0.297,0.329,0.2565,0.3175,0.3005,0.0045,0.0825,-0.1275,0.063,0.2245,-0.1575
-0.1745,0.243,0.417,-0.034,-0.295,0.33,0.2585,0.318,0.3015,0.005,0.08,-0.1265,0.064,0.2225,-0.1575
