i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.212,0.859,1.071,-0.3235,-0.641,0.965,0.3215,0.203,0.0555,-0.094,-0.151,-0.2665,-0.189,0.395,-0.112
-0.1955,0.85,1.0455,-0.327,-0.62,0.948,0.38,0.27,0.1195,-0.0365,-0.1235,-0.256,-0.1645,0.374,-0.139
-0.184,0.8545,1.0385,-0.335,-0.611,0.9465,0.4315,0.3335,0.1935,0.03,-0.085,-0.2355,-0.134,0.389,-0.1655
-0.1605,0.863,1.0235,-0.351,-0.5915,0.9435,0.463,0.3795,0.2505,0.0875,-0.0475,-0.213,-0.1035,0.3925,-0.1895
-0.136,0.862,0.998,-0.363,-0.5665,0.93,0.5165,0.4425,0.317,0.1445,-0.018,-0.2015,-0.077,0.372,-0.2175
-0.1175,0.8825,1.0005,-0.3825,-0.5585,0.9415,0.5665,0.4985,0.406,0.2295,0.031,-0.1765,-0.046,0.39,-0.247
-0.0985,0.9,0.999,-0.4005,-0.5485,0.9495,0.6295,0.581,0.5175,0.336,0.097,-0.1385,-0.003,0.4105,-0.284
-0.0705,0.923,0.9935,-0.4265,-0.5315,0.9585,0.697,0.675,0.633,0.4455,0.166,-0.0985,0.047,0.425,-0.321
-0.0365,0.9655,1.002,-0.4645,-0.5185,0.984,0.759,0.78,0.7775,0.5745,0.2415,-0.058,0.101,0.4545,-0.364
0.0085,1.012,1.0035,-0.5105,-0.497,1.008,0.8065,0.893,0.9585,0.738,0.34,-0.0035,0.168,0.483,-0.4305
0.0465,1.0475,1.001,-0.547,-0.4775,1.0245,0.8705,1.012,1.1385,0.9,0.432,0.047,0.2285,0.508,-0.4915
0.077,1.066,0.989,-0.571,-0.456,1.027,0.9615,1.1565,1.327,1.058,0.508,0.0855,0.2825,0.522,-0.545
0.103,1.1055,1.0025,-0.6045,-0.4495,1.054,1.0465,1.2875,1.5055,1.2085,0.5875,0.1285,0.3275,0.557,-0.6145
0.1275,1.1305,1.003,-0.629,-0.4375,1.0665,1.152,1.4425,1.695,1.352,0.654,0.163,0.367,0.579,-0.676
0.1525,1.1425,0.9905,-0.6475,-0.419,1.0665,1.219,1.5645,1.863,1.484,0.7175,0.194,0.41,0.5835,-0.7305
0.1825,1.1805,0.998,-0.6815,-0.4075,1.0895,1.2425,1.6485,2.0055,1.607,0.7815,0.228,0.456,0.6015,-0.7835
0.2165,1.2255,1.0085,-0.721,-0.396,1.117,1.217,1.6955,2.1085,1.6985,0.8415,0.2685,0.502,0.63,-0.806
0.225,1.2605,1.035,-0.743,-0.4045,1.1475,1.1495,1.6795,2.134,1.727,0.883,0.3035,0.5315,0.682,-0.794
0.229,1.2735,1.044,-0.751,-0.4075,1.159,1.0705,1.617,2.099,1.693,0.8915,0.324,0.5435,0.705,-0.757
0.231,1.2915,1.06,-0.761,-0.414,1.1755,0.964,1.5085,2.021,1.6165,0.873,0.331,0.53,0.7265,-0.717
