i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.0405,-0.3205,-0.3615,0.14,0.201,-0.341,0.1035,0.223,0.1515,-0.011,-0.1555,0.017,-0.132,0.0225,-0.0225
0.0335,-0.3255,-0.359,0.146,0.196,-0.342,0.094,0.209,0.1395,-0.017,-0.155,0.018,-0.1315,0.0195,-0.0145
0.03,-0.3195,-0.3495,0.1445,0.1895,-0.3345,0.083,0.1925,0.123,-0.0265,-0.1595,0.0155,-0.1325,0.028,-0.014
0.0325,-0.3105,-0.343,0.1385,0.1875,-0.3265,0.076,0.181,0.113,-0.0275,-0.1565,0.0195,-0.131,0.0345,-0.0135
0.0325,-0.3055,-0.3375,0.1365,0.185,-0.3215,0.068,0.1645,0.0975,-0.033,-0.158,0.02,-0.133,0.036,-0.013
0.029,-0.299,-0.328,0.135,0.1785,-0.3135,0.0635,0.154,0.086,-0.036,-0.1575,0.023,-0.131,0.038,-0.012
0.0275,-0.296,-0.3235,0.1345,0.176,-0.31,0.0605,0.1385,0.074,-0.042,-0.162,0.023,-0.1335,0.0345,-0.0045
0.03,-0.2935,-0.324,0.132,0.177,-0.309,0.0555,0.1315,0.068,-0.0435,-0.161,0.024,-0.1345,0.037,0.0015
0.0275,-0.2935,-0.3215,0.133,0.1745,-0.3075,0.045,0.1235,0.058,-0.0475,-0.1615,0.0245,-0.134,0.0435,0.0035
0.0205,-0.2965,-0.3175,0.138,0.169,-0.307,0.0345,0.1025,0.043,-0.055,-0.1675,0.021,-0.137,0.047,0.0065
0.0165,-0.2955,-0.312,0.1395,0.1645,-0.304,0.027,0.0875,0.03,-0.06,-0.17,0.018,-0.141,0.047,0.0085
0.0125,-0.291,-0.3035,0.1395,0.158,-0.2975,0.0255,0.077,0.0165,-0.067,-0.173,0.016,-0.146,0.05,0.011
0.013,-0.2915,-0.3045,0.139,0.159,-0.298,0.0235,0.0695,0.01,-0.0705,-0.175,0.016,-0.15,0.0555,0.0165
